날짜,강수량(mm)
2013-10-23,
2013-10-24,
2013-10-25,
2013-10-26,
2013-10-27,
2013-10-28,
2013-10-29,0.5
2013-10-30,
2013-10-31,
2014-05-01,
2014-05-02,1
2014-05-03,
2014-05-04,0.2
2014-05-05,
2014-05-06,
2014-05-07,2
2014-05-08,4
2014-05-09,
2014-05-10,
2014-05-11,23
2014-05-12,10
2014-05-13,
2014-05-14,
2014-05-15,0.3
2014-05-16,
2014-05-17,
2014-05-18,
2014-05-19,
2014-05-20,
2014-05-21,
2014-05-22,
2014-05-23,
2014-05-24,
2014-05-25,21
2014-05-26,1.5
2014-05-27,
2014-05-28,
2014-05-29,
2014-05-30,
2014-05-31,
2014-06-01,
2014-06-02,2
2014-06-03,33
2014-06-04,
2014-06-05,
2014-06-06,
2014-06-07,
2014-06-08,
2014-06-09,
2014-06-10,5.5
2014-06-11,19
2014-06-12,0.1
2014-06-13,0
2014-06-14,
2014-06-15,
2014-06-16,
2014-06-17,3.5
2014-06-18,0.1
2014-06-19,0
2014-06-20,1.5
2014-06-21,8.5
2014-06-22,0.4
2014-06-23,24.5
2014-06-24,
2014-06-25,
2014-06-26,
2014-06-27,
2014-06-28,0
2014-06-29,
2014-06-30,
2014-07-01,
2014-07-02,20.5
2014-07-03,2
2014-07-04,
2014-07-05,
2014-07-06,
2014-07-07,
2014-07-08,0.2
2014-07-09,0.5
2014-07-10,
2014-07-11,
2014-07-12,
2014-07-13,
2014-07-14,
2014-07-15,
2014-07-16,
2014-07-17,0.2
2014-07-18,1.5
2014-07-19,
2014-07-20,
2014-07-21,
2014-07-22,16.5
2014-07-23,55
2014-07-24,48
2014-07-25,59.5
2014-07-26,2.5
2014-07-27,
2014-07-28,
2014-07-29,
2014-07-30,
2014-07-31,1.5
2014-08-01,
2014-08-02,0
2014-08-03,13
2014-08-04,6.5
2014-08-05,0
2014-08-06,10.5
2014-08-07,0.2
2014-08-08,
2014-08-09,
2014-08-10,42.5
2014-08-11,
2014-08-12,
2014-08-13,0
2014-08-14,0.5
2014-08-15,
2014-08-16,
2014-08-17,3
2014-08-18,11.5
2014-08-19,4.5
2014-08-20,0.5
2014-08-21,46.5
2014-08-22,15
2014-08-23,0.5
2014-08-24,0.1
2014-08-25,0
2014-08-26,11.5
2014-08-27,
2014-08-28,
2014-08-29,6.5
2014-08-30,
2014-08-31,
2014-09-01,1.5
2014-09-02,6
2014-09-03,57.5
2014-09-04,
2014-09-05,
2014-09-06,
2014-09-07,
2014-09-08,
2014-09-09,
2014-09-10,
2014-09-11,
2014-09-12,0.1
2014-09-13,
2014-09-14,
2014-09-15,
2014-09-16,
2014-09-17,
2014-09-18,
2014-09-19,
2014-09-20,
2014-09-21,0
2014-09-22,
2014-09-23,
2014-09-24,6.5
2014-09-25,
2014-09-26,0
2014-09-27,
2014-09-28,0.5
2014-09-29,16
2014-09-30,
2014-10-01,
2014-10-02,9
2014-10-03,
2014-10-04,
2014-10-05,
2014-10-06,
2014-10-07,
2014-10-08,
2014-10-09,
2014-10-10,
2014-10-11,
2014-10-12,
2014-10-13,
2014-10-14,
2014-10-15,
2014-10-16,2.5
2014-10-17,
2014-10-18,
2014-10-19,
2014-10-20,21.5
2014-10-21,18.5
2014-10-22,
2014-10-23,
2014-10-24,
2014-10-25,
2014-10-26,0.5
2014-10-27,
2014-10-28,
2014-10-29,
2014-10-30,
2014-10-31,0.2
2015-05-01,
2015-05-02,0.5
2015-05-03,3.5
2015-05-04,
2015-05-05,
2015-05-06,
2015-05-07,
2015-05-08,
