날짜,강수량(mm)
2020-08-03,102.6
2020-08-04,3.9
2020-08-05,18.5
2020-08-06,75.7
2020-08-07,0
2020-08-08,19.1
2020-08-09,50.3
2020-08-10,44.6
2020-08-11,97
2020-08-12,
2020-08-13,
2020-08-14,0.4
2020-08-15,69
2020-08-16,
2020-08-17,
2020-08-18,
2020-08-19,
2020-08-20,
2020-08-21,2.5
2020-08-22,42.6
2020-08-23,
2020-08-24,
2020-08-25,
2020-08-26,0.6
2020-08-27,8.7
2020-08-28,13.6
2020-08-29,13.6
2020-08-30,42.5
2020-08-31,0
2020-09-01,0
2020-09-02,33.3
2020-09-03,29.8
2020-09-04,
2020-09-05,
2020-09-06,6.4
2020-09-07,61
2020-09-08,0
2020-09-09,1.3
2020-09-10,3.9
2020-09-11,1.2
2020-09-12,5.7
2020-09-13,
2020-09-14,0
2020-09-15,
2020-09-16,0.3
2020-09-17,
2020-09-18,
2020-09-19,0.3
2020-09-20,
2020-09-21,
2020-09-22,
2020-09-23,
2020-09-24,
2020-09-25,
2020-09-26,
2020-09-27,
2020-09-28,
2020-09-29,
2020-09-30,38.3
2020-10-01,
2020-10-02,0
2020-10-03,0
2020-10-04,0
2020-10-05,
2020-10-06,
2020-10-07,
2020-10-08,
2020-10-09,
2020-10-10,
2020-10-11,
2020-10-12,
2020-10-13,
2020-10-14,
2020-10-15,
2020-10-16,
2020-10-17,
2020-10-18,
2020-10-19,
2020-10-20,
2020-10-21,
2020-10-22,0
2020-10-23,
2020-10-24,
2020-10-25,
2020-10-26,
2020-10-27,
2020-10-28,
2020-10-29,
2020-10-30,
2020-10-31,
2021-05-01,8
2021-05-02,1.7
2021-05-03,
2021-05-04,19.6
2021-05-05,0.1
2021-05-06,
2021-05-07,8.8
2021-05-08,
2021-05-09,
2021-05-10,0
2021-05-11,
2021-05-12,
2021-05-13,
2021-05-14,
2021-05-15,15
2021-05-16,66.9
2021-05-17,3.1
2021-05-18,
2021-05-19,
2021-05-20,0.9
2021-05-21,6.9
2021-05-22,0.2
2021-05-23,
2021-05-24,
2021-05-25,8.3
2021-05-26,0
2021-05-27,8.9
2021-05-28,12.3
2021-05-29,0.3
2021-05-30,18.1
2021-05-31,4
2021-06-01,3.2
2021-06-02,
2021-06-03,18.1
2021-06-04,
2021-06-05,
2021-06-06,
2021-06-07,0
2021-06-08,0.1
2021-06-09,
2021-06-10,6.1
2021-06-11,4.6
2021-06-12,
2021-06-13,
2021-06-14,
2021-06-15,1.9
2021-06-16,
2021-06-17,0
2021-06-18,6.3
2021-06-19,
2021-06-20,
2021-06-21,
2021-06-22,0
2021-06-23,7.5
2021-06-24,
2021-06-25,
2021-06-26,4.5
2021-06-27,38.2
2021-06-28,0.1
2021-06-29,8
2021-06-30,6
2021-07-01,
2021-07-02,
2021-07-03,60
2021-07-04,21.4
2021-07-05,
2021-07-06,
2021-07-07,12.7
2021-07-08,2.9
2021-07-09,0
2021-07-10,0.5
2021-07-11,0.4
2021-07-12,
2021-07-13,
2021-07-14,
2021-07-15,0
2021-07-16,
2021-07-17,0
2021-07-18,
2021-07-19,67.4
2021-07-20,0
2021-07-21,
2021-07-22,
2021-07-23,
2021-07-24,
2021-07-25,
2021-07-26,
2021-07-27,
2021-07-28,0
2021-07-29,
2021-07-30,
2021-07-31,3
2021-08-01,21
2021-08-02,1.7
2021-08-03,0
2021-08-04,
2021-08-05,
2021-08-06,
2021-08-07,
2021-08-08,12.7
2021-08-09,
2021-08-10,
2021-08-11,0
2021-08-12,0
2021-08-13,
2021-08-14,
2021-08-15,
2021-08-16,0
2021-08-17,9.3
2021-08-18,5.6
2021-08-19,
2021-08-20,0
2021-08-21,62.8
2021-08-22,0
2021-08-23,7.4
2021-08-24,10.5
2021-08-25,0.3
2021-08-26,0.7
2021-08-27,0.9
2021-08-28,
2021-08-29,0.9
2021-08-30,0
2021-08-31,77.4
2021-09-01,0.8
2021-09-02,
2021-09-03,
2021-09-04,
2021-09-05,
2021-09-06,12
2021-09-07,29.6
2021-09-08,1.6
2021-09-09,
2021-09-10,
2021-09-11,
2021-09-12,
2021-09-13,
2021-09-14,
2021-09-15,
2021-09-16,
2021-09-17,
2021-09-18,
2021-09-19,
2021-09-20,
2021-09-21,68.1
2021-09-22,4.5
2021-09-23,
2021-09-24,
2021-09-25,
2021-09-26,
2021-09-27,0
2021-09-28,1.3
2021-09-29,13.1
2021-09-30,
2021-10-01,13.3
2021-10-02,
2021-10-03,
2021-10-04,3.6
2021-10-05,0
2021-10-06,6.4
2021-10-07,4.6
2021-10-08,3.5
2021-10-09,0.4
2021-10-10,14.2
2021-10-11,0.3
2021-10-12,
2021-10-13,
2021-10-14,
2021-10-15,0
2021-10-16,0
2021-10-17,
2021-10-18,5.6
2021-10-19,4.4
2021-10-20,
2021-10-21,
2021-10-22,
2021-10-23,
2021-10-24,
2021-10-25,
2021-10-26,
2021-10-27,0
2021-10-28,
2021-10-29,
2021-10-30,
2021-10-31,0.7
2022-05-01,
2022-05-02,
2022-05-03,
2022-05-04,
2022-05-05,
2022-05-06,
2022-05-07,0.5
2022-05-08,2
2022-05-09,
2022-05-10,0
2022-05-11,0
2022-05-12,
2022-05-13,
2022-05-14,
2022-05-15,
2022-05-16,
2022-05-17,
2022-05-18,1.5
2022-05-19,
2022-05-20,
2022-05-21,
2022-05-22,
2022-05-23,
2022-05-24,
2022-05-25,3.5
2022-05-26,0
2022-05-27,0
2022-05-28,
2022-05-29,
2022-05-30,0
2022-05-31,
2022-06-01,
2022-06-02,
2022-06-03,
2022-06-04,
2022-06-05,0
2022-06-06,4.3
2022-06-07,0
2022-06-08,
2022-06-09,2.6
2022-06-10,1.2
2022-06-11,
2022-06-12,
2022-06-13,18
2022-06-14,0
2022-06-15,18.5
2022-06-16,0.7
2022-06-17,
2022-06-18,0
2022-06-19,
2022-06-20,
2022-06-21,
2022-06-22,
2022-06-23,103
2022-06-24,19.1
2022-06-25,
2022-06-26,
2022-06-27,6.1
2022-06-28,6.3
2022-06-29,37.8
2022-06-30,176.2
2022-07-01,
2022-07-02,
2022-07-03,
2022-07-04,0
2022-07-05,0
2022-07-06,16.1
2022-07-07,0
2022-07-08,1.7
2022-07-09,0.1
2022-07-10,0
2022-07-11,9
2022-07-12,
2022-07-13,114.5
2022-07-14,0.9
2022-07-15,
2022-07-16,34
2022-07-17,0
2022-07-18,
