시설종류,대상시설명,소재지도로명주소,위도,경도,관리기관명,관할경찰서명,CCTV설치여부,CCTV설치대수,보호구역도로폭,데이터기준일자,제공기관코드,제공기관명
초등학교,고산초등학교,서울특별시 구로구 중앙로 6,37.49897363,126.8647738,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,고척초등학교,서울특별시 구로구 경서로 31,37.50094667,126.856994,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
유치원,고척초병설유치원,서울특별시 구로구 경서로 31,37.50094667,126.856994,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,구로남초등학교,서울특별시 구로구 디지털로27길 76,37.48420548,126.8902176,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,구로초등학교,서울특별시 구로구 구로중앙로27나길 9,37.49746124,126.8865524,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
어린이집,코레일오류동어린이집,서울특별시 구로구 경인로20가길 24,37.49548271,126.8453299,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,항동초등학교,서울특별시 구로구 연동로 178,37.47697151,126.8240776,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,하늘숲초등학교,서울특별시 구로구 오리로 1106,37.48416096,126.8414819,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
특수학교,지구촌학교,서울특별시 구로구 오리로 1189,37.48885919,126.8351761,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,개명초등학교,서울특별시 구로구 개봉로1다길 16-9,37.48303805,126.8509816,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,구일초등학교,서울특별시 구로구 구일로 68,37.4931916,126.8734733,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,신구로초등학교,서울특별시 구로구 가마산로27길 69,37.49965913,126.8897653,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,영서초등학교,서울특별시 구로구 도림로20길 57,37.48896046,126.8955839,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
유치원,영서초병설유치원,서울특별시 구로구 도림로20길 57,37.48896046,126.8955839,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,영일초등학교,서울특별시 구로구 남부순환로105길 218,37.48564457,126.8838114,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,오류남초등학교,서울특별시 구로구 서해안로24길 22,37.489606,126.8391137,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,오류초등학교,서울특별시 구로구 경인로19길 39,37.49752903,126.8420281,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
유치원,준희유치원,서울특별시 구로구 경인로19길 8,37.49605966,126.8428318,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,개웅초등학교,서울특별시 구로구 개봉로11길 98,37.488569,126.8499801,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,신도림초등학교,서울특별시 구로구 신도림로19길 44,37.51198583,126.8832548,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,온수초등학교,서울특별시 구로구 부일로 893,37.494071,126.825993,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
특수학교,성베드로학교,서울특별시 구로구 연동로 320,37.4875236,126.826165,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
어린이집,무궁어린이집,서울특별시 구로구 부일로15나길 20-7,37.49492008,126.8344028,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
초등학교,오정초등학교,서울특별시 구로구 경인로2길 10,37.49016576,126.8264393,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
유치원,동정성모유치원,서울특별시 구로구 경인로2길 11,37.48985001,126.8273989,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
유치원,꿀벌유치원,서울특별시 구로구 디지털로27다길 15,37.484935,126.8893165,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
유치원,나비유치원,서울특별시 구로구 고척로 30,37.497362,126.839734,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
유치원,도현유치원,서울특별시 구로구 구로동로28길 55,37.490942,126.887203,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
유치원,버들유치원,서울특별시 구로구 오류로8길 40,37.49168436,126.842809,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
유치원,예쁨유치원,서울특별시 구로구 부일로1길 125,37.495235,126.8174398,서울특별시 구로구청,구로경찰서,Y,,,2019-10-28,3160000,서울특별시 구로구
