ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2015-05-09,18083,6971,17828,446,116,5903,761,3580,3271,6239,235,48,284,45,4300,1536,5654,112,8,61,1,5512,6656,10527,917,110,162,452
2015-05-10,16594,4952,15808,371,177,4974,216,3219,2981,5456,290,70,334,50,4502,1298,5629,125,10,36,0,5000,2711,6471,673,82,221,264
2015-05-11,12140,6572,12404,564,217,5120,407,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-12,0,0,0,0,0,0,0,1933,1487,1954,278,60,1091,37,2924,1869,4584,74,16,109,10,3533,7792,8970,880,144,844,487
2015-05-13,16644,8638,17978,302,94,6817,91,1689,2082,3195,196,46,307,27,3138,2253,5235,98,11,18,29,2950,4724,6073,885,179,135,402
2015-05-14,13583,8471,18722,484,203,2483,162,1529,2023,2933,194,61,289,75,3069,1735,4687,95,10,8,4,2743,3709,5458,710,27,100,157
2015-05-15,13304,6551,9945,446,122,9136,206,1326,2771,3688,158,41,196,14,638,2207,2750,44,14,9,28,2925,3882,5346,904,162,150,245
2015-05-16,19426,6780,19529,553,170,5610,344,3473,3302,6185,183,87,231,89,1980,1530,3316,89,26,52,27,4726,3249,6252,931,133,184,475
2015-05-17,17757,3847,15757,201,148,5352,146,2692,2526,4614,172,77,262,93,1699,1161,2729,46,36,31,18,4289,2247,5070,850,145,146,325
2015-05-18,14243,5637,15227,161,181,4194,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-05-19,0,0,0,0,0,0,0,1792,1445,1989,247,79,846,76,512,1835,2215,98,10,5,19,3724,4381,5816,1114,108,821,246
2015-05-20,16043,11050,19965,180,196,6415,337,1570,2085,3283,145,43,143,41,913,1631,2369,76,11,77,11,2559,2528,3827,667,222,90,281
2015-05-21,15254,9551,22001,246,164,2194,200,1647,2105,3094,122,57,444,35,890,1246,1938,48,8,127,15,5159,3297,7550,400,89,113,304
2015-05-22,13964,7958,16507,46,40,5284,45,1372,2280,3324,82,21,197,28,617,2412,2899,107,8,10,5,2835,3244,4581,814,211,263,210
2015-05-23,23088,9190,25434,205,122,6240,277,4904,3809,7021,187,79,1384,42,1960,1298,3101,74,9,10,64,5121,3111,6685,997,188,183,179
2015-05-24,24313,8972,22995,322,224,9567,177,5199,3629,8234,146,69,278,101,2749,1591,4104,158,5,48,25,6097,4226,8650,1148,123,259,143
2015-05-25,18458,6816,15741,247,92,8932,262,2836,2254,4853,123,16,81,17,1578,1033,2541,32,1,14,23,3692,2285,5270,389,71,109,138
2015-05-26,0,0,0,0,0,0,0,1995,1019,1841,209,36,917,11,459,554,933,50,0,12,18,3172,1824,3529,603,116,517,231
2015-05-27,0,23764,16634,0,0,0,7130,0,4329,3863,165,72,21,208,0,3056,3056,0,0,0,0,878,5092,4244,886,284,472,84
2015-05-28,11251,6388,8740,296,63,8248,292,1401,1287,2116,68,99,389,16,485,864,1228,27,11,80,3,2002,1332,2737,233,83,38,243
2015-05-29,13038,6690,10434,223,150,8749,172,2827,5508,7925,92,44,223,51,562,1186,1637,39,11,51,10,2331,1190,2704,414,171,100,132
2015-05-30,15449,3328,8901,246,156,9160,314,5640,5752,10859,207,62,195,69,941,811,1631,64,4,26,27,3326,1533,3821,450,116,285,187
2015-05-31,17551,4290,17258,379,226,3739,239,2579,1916,3855,158,75,318,89,1286,857,1983,70,15,59,16,3788,1160,3812,697,112,86,241
2015-06-01,11715,2491,11908,415,112,1502,269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-02,0,0,0,0,0,0,0,1878,1526,2348,137,89,662,168,556,882,1299,99,17,17,6,3283,2473,3493,621,184,506,952
2015-06-03,12635,2302,11510,145,118,3056,108,1311,936,1775,129,65,248,30,405,450,761,85,7,2,0,1902,967,1751,433,177,189,319
2015-06-04,8740,1272,6160,372,68,3257,155,1172,945,1608,104,36,341,28,457,307,600,112,9,40,3,1688,403,1384,269,84,92,262
2015-06-05,9110,1169,7579,331,139,1968,262,931,541,1110,135,8,180,39,276,240,434,40,16,12,14,1880,462,1273,322,198,117,432
2015-06-06,13202,2113,12981,439,118,1626,151,1912,1101,2506,203,73,184,47,843,498,1197,72,10,32,30,2949,719,2599,480,120,95,374
2015-06-07,8258,1142,6615,269,56,2384,76,1404,1155,1989,177,63,278,52,689,376,946,98,15,4,2,2430,695,2191,399,137,72,326
2015-06-08,5734,834,4340,237,122,1752,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-09,0,0,0,0,0,0,0,1111,595,1208,120,60,299,19,425,264,633,40,1,11,4,2115,395,1180,731,133,144,322
2015-06-10,4651,615,4784,127,20,270,65,694,512,1062,116,14,8,6,342,241,523,49,1,7,3,1216,375,827,438,56,77,193
2015-06-11,3731,558,2507,284,41,1408,49,558,493,858,67,31,73,22,280,254,508,17,5,4,0,1044,312,668,438,78,32,140
2015-06-12,2957,494,2373,265,54,688,71,860,486,1145,66,22,89,24,299,253,512,33,6,1,0,1342,415,922,548,47,36,204
2015-06-13,4620,937,4778,214,26,466,73,1257,685,1693,138,32,49,30,622,384,948,51,4,0,3,2208,669,1977,453,43,164,240
2015-06-14,3690,921,3646,202,48,523,192,1145,742,1656,105,31,48,47,652,296,913,28,5,2,0,2141,612,1995,417,39,16,286
2015-06-15,2381,403,2094,261,42,351,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-16,0,0,0,0,0,0,0,704,507,965,112,55,47,32,370,277,567,75,1,4,0,1554,416,1245,340,61,27,297
2015-06-17,1828,555,1973,181,26,177,26,487,394,790,58,12,11,10,262,236,457,29,8,1,3,1080,371,827,363,38,10,213
2015-06-18,1983,550,1887,286,44,269,47,623,463,953,75,20,11,27,245,281,467,53,1,0,5,1067,392,912,345,115,14,73
2015-06-19,2388,788,2096,593,24,387,76,678,404,922,73,34,38,15,281,280,505,55,1,0,0,1587,296,1292,296,60,52,183
2015-06-20,1479,395,1555,97,11,183,28,476,516,890,57,15,25,5,195,140,294,34,0,5,2,903,282,970,143,13,11,48
2015-06-21,4308,1701,5511,184,36,164,114,1262,1066,2040,218,34,5,31,832,511,1234,97,3,4,5,2528,817,2642,509,47,15,132
2015-06-22,2220,636,2612,106,4,128,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-23,0,0,0,0,0,0,0,974,637,1238,207,16,101,49,455,342,649,128,8,6,6,1663,473,1361,457,59,35,224
2015-06-24,0,3733,2987,0,0,0,746,0,2295,2042,141,20,14,78,0,1579,1579,0,0,0,0,543,2288,2046,659,4,119,3
2015-06-25,1801,744,2153,156,18,156,62,720,651,1195,111,16,42,7,326,317,608,29,0,6,0,977,403,911,280,14,41,134
2015-06-26,1890,461,1757,130,3,384,77,598,538,1043,57,14,14,8,267,261,483,33,2,1,9,986,390,872,321,8,60,115
2015-06-27,4501,1357,5406,148,20,244,40,1444,1057,2204,205,49,9,34,762,628,1310,64,4,5,7,2474,854,2728,447,31,9,113
2015-06-28,3546,1030,3880,321,61,224,90,871,666,1358,143,13,0,23,729,491,1147,63,3,1,6,1978,661,2147,356,17,29,90
2015-06-29,1777,655,2087,175,14,120,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-06-30,39845,0,39845,0,0,0,0,723,587,1146,128,6,15,15,467,434,795,80,11,5,10,1292,476,1212,388,8,64,96
2015-07-01,0,4096,2686,795,133,166,316,0,2668,2401,205,11,7,44,0,1520,1391,0,0,0,129,546,2051,2145,360,40,32,20
2015-07-02,0,4905,3351,885,107,115,447,0,3178,2968,126,8,14,62,0,1706,1601,0,0,0,105,595,2602,2628,441,36,54,38
2015-07-03,0,4891,3371,870,106,110,434,0,3680,3383,237,7,4,49,0,2164,2036,0,0,0,128,943,2325,2634,518,39,42,35
2015-07-04,0,10300,8143,1208,124,223,602,0,5681,5393,178,12,6,92,0,3507,3286,0,0,0,221,993,6713,6688,853,71,56,38
2015-07-05,0,10728,8784,1035,201,292,416,0,4492,4120,293,14,8,57,0,3348,3145,0,0,0,203,994,5157,5539,544,10,13,45
2015-07-06,0,5297,3720,865,121,101,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-07,0,0,0,0,0,0,0,0,3950,3621,228,19,5,77,0,2519,2357,0,0,0,162,794,3957,4015,542,73,100,21
2015-07-08,0,5996,4323,933,116,109,515,0,3190,2902,183,29,15,61,0,2130,1987,0,0,0,143,580,2941,2897,524,48,46,6
2015-07-09,0,5489,3568,1034,113,191,583,0,3382,3155,156,6,11,54,0,2140,2013,0,0,0,127,738,3359,3422,520,50,54,51
2015-07-10,0,6347,3436,1661,139,293,818,0,3457,3211,164,8,17,57,0,2296,2167,0,0,0,129,666,2848,2715,663,52,46,38
2015-07-11,0,9350,5805,1817,229,993,506,0,3847,3509,189,13,14,122,0,2671,2502,0,0,0,169,955,4094,4329,533,50,90,47
2015-07-12,0,4582,3110,799,60,213,400,0,1561,1398,88,2,0,73,0,1605,1527,0,0,0,78,630,2312,2115,431,56,321,19
2015-07-13,0,3648,2048,853,98,205,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-14,0,0,0,0,0,0,0,0,3266,2913,259,5,10,79,0,2572,2352,0,0,0,220,751,4168,3572,1109,98,136,4
2015-07-15,0,4785,2383,1026,131,617,628,0,2604,2346,161,8,10,79,0,1677,1546,0,0,0,131,635,2292,2216,604,22,41,44
2015-07-16,0,6001,3914,1007,75,386,619,0,3983,3708,152,12,17,94,0,2054,1913,0,0,0,141,679,3269,3089,728,45,84,2
2015-07-17,0,6734,4125,1201,186,491,731,0,4013,3703,168,9,28,105,0,2581,2426,0,0,0,155,845,3897,3817,345,51,495,34
2015-07-18,0,14768,10624,1432,149,1284,1279,0,6066,5685,248,15,13,105,0,4307,4079,0,0,0,228,1082,6446,5867,1387,94,180,0
2015-07-19,0,14604,9916,1551,206,1423,1508,0,4640,4241,236,12,28,123,0,4848,4572,0,0,0,276,995,7356,7017,1130,104,96,4
2015-07-20,0,7761,4732,1038,121,1078,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-21,0,0,0,0,0,0,0,0,3360,2925,200,2,92,141,0,2352,2172,0,0,0,180,731,4453,3813,972,94,258,47
2015-07-22,0,6345,3300,1399,86,1235,325,0,2868,2589,165,10,14,90,0,1622,1419,0,0,0,203,638,3315,3222,578,42,88,23
2015-07-23,0,6643,3001,1686,98,1637,221,0,2511,2304,149,6,8,44,0,1433,1302,0,0,0,131,655,2708,2614,577,57,84,31
2015-07-24,0,4347,2203,360,61,1488,235,0,2075,1834,126,5,34,76,0,1067,962,0,0,0,105,484,2173,2196,327,24,97,13
2015-07-25,0,10108,6542,1053,174,1599,740,0,3416,3165,181,7,16,47,0,2567,2391,0,0,0,176,982,3250,3106,816,117,169,24
2015-07-26,0,14440,10134,1097,111,2358,740,0,5068,4503,341,40,24,160,0,4024,3767,0,0,0,257,1037,6720,6584,876,116,140,41
2015-07-27,0,10589,6588,1324,298,1893,486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-07-28,0,0,0,0,0,0,0,0,5071,4584,248,12,31,196,0,3218,2972,0,0,0,246,1049,6600,6350,870,116,300,13
2015-07-29,0,11669,6612,1472,305,2738,542,0,5424,5167,150,5,43,59,0,2450,2280,0,0,0,170,795,6775,6771,610,62,122,5
2015-07-30,0,11877,6624,1617,166,2249,1221,0,4989,4626,204,23,53,83,0,3084,2886,0,0,0,198,967,5180,5198,799,61,73,16
2015-07-31,0,12747,7887,1063,234,2790,773,0,4866,4474,182,20,27,163,0,3380,3115,0,0,0,265,1008,5271,5166,866,64,170,13
2015-08-01,10000,3375,10640,639,57,1822,217,2553,1901,4042,241,35,91,45,1085,767,1785,46,5,6,10,3146,1424,3870,476,88,40,96
2015-08-02,9721,4514,12334,179,38,1590,94,2237,1626,3439,223,48,106,47,1093,677,1716,40,4,10,0,3161,1633,4119,471,43,27,134
2015-08-03,8980,5888,13652,284,93,728,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-04,0,0,0,0,0,0,0,2739,1668,3449,144,136,601,77,1127,808,1855,67,7,5,1,3853,2559,5217,749,64,140,242
2015-08-05,8061,4267,10915,221,43,1018,131,1370,1443,2476,153,37,103,44,641,601,1183,47,5,0,7,1978,1101,2438,438,35,87,81
2015-08-06,5823,2833,7634,102,66,634,220,1345,1363,2277,172,46,105,108,468,446,860,41,10,3,0,1684,932,2099,329,34,52,102
2015-08-07,4461,2017,4361,217,52,1777,71,1000,1167,1964,93,26,77,7,384,507,861,14,6,7,3,1369,797,1754,221,31,29,131
2015-08-08,8089,3029,8848,269,69,1839,93,1770,1768,3192,159,40,76,71,670,437,1057,38,9,2,1,1975,995,2465,329,72,46,58
2015-08-09,7500,2734,7082,229,50,2777,96,1667,1912,3271,114,50,101,43,724,567,1226,49,8,8,0,2190,1192,2704,383,100,84,111
2015-08-10,6983,2531,6104,219,28,3161,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-11,0,0,0,0,0,0,0,2011,1668,2948,236,50,381,64,3047,702,3660,75,6,2,6,3060,1480,3168,752,99,269,252
2015-08-12,9469,2977,9894,224,14,2241,73,1418,1505,2601,128,48,125,21,2801,456,3196,40,6,13,2,1577,874,1910,400,70,40,31
2015-08-13,7917,2540,5499,190,109,4492,167,1752,1936,3345,141,58,91,53,2763,567,3280,23,14,11,2,1851,1095,2360,304,79,56,147
2015-08-14,251,29172,19284,1812,220,6248,1859,0,17552,17088,284,11,19,150,2413,9841,12022,0,0,0,232,1069,16086,14666,1919,252,272,46
2015-08-15,250,41455,31995,1296,335,5934,2145,0,20079,19506,332,21,72,148,2430,8408,10461,0,0,0,377,1098,13973,13335,1247,154,282,53
2015-08-16,101,21564,13415,1374,216,5473,1187,0,8595,8127,227,16,36,189,2325,5754,7807,0,0,0,272,1084,9774,9367,1109,123,240,19
2015-08-17,7385,2296,6816,278,178,2276,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-18,0,0,0,0,0,0,0,1928,1579,2681,228,67,497,34,2918,631,3422,33,29,42,23,2922,1599,3030,632,114,393,352
2015-08-19,10954,4009,10672,337,114,3650,190,1304,1273,2213,119,41,181,23,2755,461,3151,40,16,2,7,1682,1067,2087,404,64,117,77
2015-08-20,8733,3239,8246,202,90,3348,86,1478,1310,2377,158,64,121,68,2755,402,3061,69,9,2,16,1630,770,1644,580,52,62,62
2015-08-21,8189,2431,7780,225,128,2403,84,1324,1032,2014,132,26,163,21,2842,491,3267,48,15,2,1,1809,892,2039,554,32,40,36
2015-08-22,13718,4081,9864,318,131,7305,181,2744,2207,4419,230,31,193,78,3551,795,4222,97,9,3,15,3101,1275,3338,714,84,112,128
2015-08-23,10788,2617,10071,403,105,2698,128,2101,1756,3454,154,69,145,35,3288,644,3814,44,13,43,18,2825,1006,2966,510,189,91,75
2015-08-24,8928,1801,6922,248,167,3320,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-08-25,0,0,0,0,0,0,0,1153,791,1312,149,34,442,7,2651,457,3020,47,17,5,19,2176,1200,2047,540,130,419,240
2015-08-26,250,21932,5730,1960,322,12977,1193,0,4476,3983,195,31,27,240,2352,5033,6969,0,0,0,416,700,4243,3326,987,234,359,37
2015-08-27,12936,2509,5604,391,97,9255,98,1660,1118,2324,175,55,193,31,2894,817,3592,56,11,41,11,1970,922,2148,455,88,63,138
2015-08-28,7830,1715,5015,153,84,4147,146,1398,1190,2240,154,33,158,3,470,465,848,65,6,3,13,1817,854,2027,459,54,115,16
2015-08-29,11729,4447,10375,530,102,4703,466,3106,2292,4865,231,38,141,123,1457,1044,2378,102,3,8,10,3538,1663,4216,676,125,85,99
2015-08-30,10329,3272,10664,331,18,2408,180,2391,1534,3362,221,63,158,121,1148,751,1814,53,2,8,22,3240,1486,3774,599,120,98,135
2015-08-31,6674,2039,5886,268,100,2359,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-01,0,0,0,0,0,0,0,1609,1048,1926,126,50,499,56,443,388,757,51,9,8,6,2286,854,1630,813,107,289,301
2015-09-02,8679,3080,10288,193,81,1161,36,1100,684,1428,91,37,172,56,356,370,662,42,8,14,0,1259,460,1026,377,94,68,154
2015-09-03,8991,3666,10442,275,110,1621,209,1460,926,1840,103,50,324,69,451,408,777,62,8,10,2,2073,1028,2566,431,26,76,2
2015-09-04,9205,2725,6089,233,59,5281,268,1190,1241,2161,120,37,104,9,491,442,855,40,10,22,6,1669,663,1449,446,109,142,186
2015-09-05,11100,3848,11853,328,112,2542,113,2404,1920,3676,183,77,298,90,1017,688,1619,68,12,6,0,2581,1393,3019,585,116,49,205
2015-09-06,11277,3403,12894,355,131,1191,109,2599,1938,4009,167,93,199,69,1337,827,2039,83,10,8,24,4039,1707,4444,774,87,113,328
2015-09-07,8711,2724,6886,532,163,3704,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-08,0,0,0,0,0,0,0,2071,1505,2656,214,74,519,113,863,719,1422,89,21,45,5,4550,1665,3426,772,111,1697,209
2015-09-09,8578,2788,5835,244,134,4922,231,1568,2213,3218,140,74,337,12,559,857,1315,46,13,38,4,1653,1243,2068,523,63,94,148
2015-09-10,7907,3302,7518,445,106,2765,375,1547,1077,2192,145,28,214,45,522,951,1417,12,6,34,4,1630,772,1521,565,88,60,168
2015-09-11,7541,3390,8341,118,38,2367,67,1088,1168,1960,69,13,208,6,395,751,1092,48,6,0,0,1722,707,1557,613,67,72,120
2015-09-12,13451,7115,15785,543,226,3816,196,3562,3002,5712,326,71,262,193,1287,928,2140,40,6,18,11,3783,1703,4271,877,31,94,213
2015-09-13,12169,3937,10890,285,142,4710,79,3336,2635,5232,170,81,436,52,1518,936,2383,47,1,4,19,4048,1982,4506,1026,165,219,114
2015-09-14,9008,2781,6101,158,137,5291,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-15,0,0,0,0,0,0,0,2250,1701,3055,232,69,515,80,663,879,1450,21,15,46,10,3355,1446,2579,839,166,621,596
2015-09-16,11375,6808,9722,267,123,7861,210,1616,1202,2348,154,64,223,29,604,682,1203,14,27,36,6,1929,1137,2042,477,95,118,334
2015-09-17,43994,7234,43467,343,231,6937,250,1757,1943,3096,190,55,300,59,687,1204,1866,15,3,6,1,1889,1893,2880,596,53,75,178
2015-09-18,10012,4929,7947,359,188,6335,112,1748,1481,2724,145,55,268,37,668,1287,1853,29,7,63,3,2278,1277,2466,806,89,101,93
2015-09-19,16063,5846,12554,404,154,8668,129,3708,4855,7930,231,69,320,13,1422,1110,2436,86,8,2,0,3889,2379,4643,1014,120,123,368
2015-09-20,13105,4506,14814,285,287,1978,247,2947,3465,5816,195,62,313,26,1308,911,2138,59,9,2,11,4363,2343,4794,929,392,128,463
2015-09-21,11713,3796,9641,333,556,4733,246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-09-22,0,0,0,0,0,0,0,2547,2115,3198,207,237,867,153,668,840,1299,159,33,2,15,4061,2926,5034,462,595,343,553
2015-09-23,11374,5638,11773,202,116,4872,49,1527,2418,3453,119,49,302,22,500,598,1043,39,2,11,3,1967,1470,2629,461,76,104,167
2015-09-24,8077,6601,10209,319,91,3786,273,1145,2292,3071,126,65,135,40,432,613,988,45,7,5,0,1598,1167,2170,389,54,68,84
2015-09-25,8195,3641,6437,112,61,5107,119,2096,1246,2954,136,29,215,8,499,532,907,114,4,2,4,1720,1052,2031,388,43,69,241
2015-09-26,15488,5767,16262,309,94,4342,248,3333,1852,4265,239,57,510,114,1356,693,1863,113,7,64,2,3923,1669,4321,791,72,157,251
2015-09-27,0,70580,48696,1408,992,14415,5069,0,14432,12439,562,66,496,869,0,9218,8290,0,0,0,928,1459,14466,10834,2942,200,1865,84
2015-09-28,24327,36647,57217,288,113,3005,351,5646,3702,8719,193,50,275,111,4211,1872,5998,64,4,12,5,6433,4348,9959,586,30,91,115
2015-09-29,13020,8304,19371,165,53,1636,99,4392,3131,6765,230,72,379,77,3125,1714,4752,50,4,30,3,5564,3796,8125,640,68,182,345
2015-09-30,0,16680,6784,1260,403,7442,791,0,4504,3994,172,27,258,53,0,2315,2048,0,0,0,267,996,4485,4320,741,126,241,53
2015-10-01,7955,2869,7464,77,42,3162,79,423,694,1007,41,6,42,21,226,206,412,17,2,1,0,1667,366,1509,168,27,150,179
2015-10-02,17313,6625,17588,250,47,5925,128,1763,1765,3056,213,50,202,7,789,880,1574,41,5,25,24,3286,1317,3383,760,56,205,199
2015-10-03,24343,9471,26327,342,185,6533,427,4039,4318,7685,237,64,323,48,1834,1292,3020,72,18,10,6,4856,3069,6588,647,170,224,296
2015-10-04,18588,4375,16693,193,132,5462,483,3178,2816,5489,259,73,127,46,1828,1056,2760,89,0,35,0,4823,2655,5596,883,161,398,440
2015-10-05,16053,6223,14221,176,84,7552,243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-06,0,0,0,0,0,0,0,2264,1729,2932,272,107,649,33,796,1637,2319,42,34,30,8,4255,5416,7773,766,148,769,215
2015-10-07,11504,8745,18809,118,27,740,555,1774,1454,2664,79,50,345,90,678,916,1507,65,2,11,9,2645,2062,3714,781,61,130,21
2015-10-08,8398,7828,14876,294,80,871,105,1732,2169,3356,186,56,218,85,657,2096,2648,60,14,16,15,2508,2235,3763,751,52,102,75
2015-10-09,21760,18476,36228,220,147,3308,333,5267,4439,8913,251,91,398,53,3245,2035,5166,26,14,8,66,6720,4960,10157,877,146,267,233
2015-10-10,14745,6909,20081,277,121,947,228,3354,2745,5465,166,45,336,87,1610,1028,2534,63,14,12,15,4706,3328,6734,794,115,179,212
2015-10-11,12040,3129,9188,371,241,5087,282,2354,1934,3611,207,74,351,45,1140,655,1707,42,21,14,11,4033,2105,4766,936,133,99,204
2015-10-12,10042,5608,11113,392,175,3688,282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-13,0,0,0,0,0,0,0,2561,3326,4755,237,61,806,28,949,2340,3078,94,42,52,23,4087,6798,9115,901,168,307,394
2015-10-14,11719,10364,17626,255,118,3790,294,1975,1926,3125,267,79,296,134,844,1685,2441,60,15,5,8,2919,3780,5436,727,152,127,257
2015-10-15,10996,11522,16511,278,189,4943,597,1978,2733,4359,184,32,134,2,836,1661,2363,51,22,36,25,3235,2945,4725,1093,111,75,176
2015-10-16,11686,8632,11808,339,186,7558,427,2343,3684,5521,162,63,253,28,3366,1794,5036,66,27,17,14,3998,3694,6467,848,99,108,170
2015-10-17,20620,7996,17158,947,528,9451,532,4528,3915,7706,199,77,374,87,4933,1382,6170,64,15,9,57,5885,4878,8915,1306,188,112,242
2015-10-18,17062,5391,13344,900,230,7431,548,3891,2786,5881,308,63,322,103,5204,1264,6312,64,21,26,45,6219,4275,8166,1505,207,240,376
2015-10-19,12022,4352,8298,332,201,7154,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-20,0,0,0,0,0,0,0,3006,2272,3943,326,94,795,120,3779,1117,4644,155,26,71,0,5642,5054,7361,1526,294,819,696
2015-10-21,13815,9917,13512,571,238,9212,199,2142,2302,3586,268,79,333,178,3174,1074,4109,70,20,32,17,3982,2646,4983,846,124,137,538
2015-10-22,12195,9527,12028,609,250,8238,597,2133,2158,3558,226,102,334,71,3373,863,4033,107,35,15,46,3945,2450,4525,1039,168,123,540
2015-10-23,12730,8984,12984,379,258,7459,634,2471,2529,4098,330,43,506,23,3283,1889,5039,69,21,34,9,4471,4689,7397,1429,78,185,71
2015-10-24,21472,6490,16556,624,131,10085,566,5805,5430,10250,332,104,487,62,5611,1825,7107,170,26,97,36,7219,6015,11127,1415,54,242,396
2015-10-25,20165,6691,17163,693,222,8322,456,5918,4431,9315,289,83,532,130,6516,1551,7740,200,21,66,40,7676,4818,10103,1740,133,201,317
2015-10-26,13169,5065,8326,718,573,8354,263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-10-27,0,0,0,0,0,0,0,3551,1801,3400,316,77,1503,56,3498,1334,4672,87,13,36,24,5977,5746,8647,1105,235,539,1197
2015-10-28,157,29453,12736,2657,842,10875,2500,0,8776,8027,231,39,239,240,2328,5735,8063,0,0,0,0,2342,11370,9405,2362,588,1325,32
2015-10-29,12444,6627,9293,726,688,7746,618,2528,2328,4109,153,68,439,87,3404,1087,4365,76,13,35,2,5213,4571,8178,1279,103,107,117
2015-10-30,12097,5263,8694,612,289,7322,443,3310,3730,6162,243,109,486,40,4147,1865,5815,140,12,35,10,5896,4458,7750,1612,195,287,510
2015-10-31,19387,5839,15016,984,244,8572,410,7575,6459,12929,361,85,551,108,6475,2221,8441,147,21,74,13,9133,6841,13650,1371,202,206,545
2015-11-01,15231,3553,12182,741,341,5108,412,5262,3809,7996,287,102,603,83,5296,1482,6495,161,30,69,23,8503,5003,10897,1430,240,247,692
2015-11-02,9970,3016,5853,374,455,6020,284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-11-03,0,0,0,0,0,0,0,3159,2224,4017,435,83,727,121,1518,1315,2720,73,13,20,7,6637,2496,5622,1189,334,417,1571
2015-11-04,11949,4760,7983,1103,433,6899,291,2486,1831,3652,168,86,330,81,1219,1448,2579,37,8,39,4,5096,3528,6670,865,231,212,646
2015-11-05,10627,4288,7297,650,294,6042,632,2795,2009,3845,234,96,533,96,1377,961,2257,53,7,19,2,4811,3467,6282,1196,175,216,409
2015-11-06,10524,3853,8498,285,280,5102,212,2611,1946,3649,208,70,513,117,1611,1325,2708,147,8,61,12,7530,2354,7170,1690,151,259,614
2015-11-07,9858,2024,4919,512,299,5615,537,2467,2279,3972,169,77,475,53,971,520,1400,24,3,64,0,4478,1770,4661,826,132,191,438
2015-11-08,10298,1781,5583,490,223,5567,216,3056,2036,4315,219,85,350,123,1406,453,1753,70,6,11,19,5010,1786,4765,1083,180,292,476
