ÀÏÀÚ,°æº¹±Ã(À¯·á),°æº¹±Ã(¹«·á),°æº¹±Ã(³»±¹ÀÎ),°æº¹±Ã(¿µ¾î±Ç),°æº¹±Ã(ÀÏº»¾î±Ç),°æº¹±Ã(Áß±¹¾î±Ç),°æº¹±Ã(±âÅ¸¿Ü±¹ÀÎ),´ö¼ö±Ã(À¯·á),´ö¼ö±Ã(¹«·á),´ö¼ö±Ã(³»±¹ÀÎ),´ö¼ö±Ã(¿µ¾î±Ç),´ö¼ö±Ã(ÀÏº»¾î±Ç),´ö¼ö±Ã(Áß±¹¾î±Ç),´ö¼ö±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢°æ±Ã(À¯·á),Ã¢°æ±Ã(¹«·á),Ã¢°æ±Ã(³»±¹ÀÎ),Ã¢°æ±Ã(¿µ¾î±Ç),Ã¢°æ±Ã(ÀÏº»¾î±Ç),Ã¢°æ±Ã(Áß±¹¾î±Ç),Ã¢°æ±Ã(±âÅ¸¿Ü±¹ÀÎ),Ã¢´ö±Ã(À¯·á),Ã¢´ö±Ã(¹«·á),Ã¢´ö±Ã(³»±¹ÀÎ),Ã¢´ö±Ã(¿µ¾î±Ç),Ã¢´ö±Ã(ÀÏº»¾î±Ç),Ã¢´ö±Ã(Áß±¹¾î±Ç),Ã¢´ö±Ã(±âÅ¸¿Ü±¹ÀÎ)
2015-02-05,11669,1485,7564,153,138,5153,146,817,582,1193,33,8,155,10,423,360,734,15,11,20,3,1036,636,947,252,111,301,61
2015-02-06,12625,2081,4678,163,96,9495,274,1277,743,1472,34,46,456,12,350,410,726,14,9,8,3,1281,581,1166,344,169,173,10
2015-02-07,15414,2932,10982,166,164,6727,307,1831,1643,3186,69,26,177,16,722,641,1305,17,19,13,9,2324,1136,2357,648,202,214,39
2015-02-08,11645,1408,7276,116,163,5429,69,844,650,1317,59,14,93,11,419,237,552,18,20,64,2,1475,559,1234,207,156,145,292
2015-02-09,11478,1948,6608,120,166,6432,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-10,0,0,0,0,0,0,0,2034,683,1375,49,42,1229,22,2433,501,2837,40,42,11,4,2437,725,1605,545,239,487,286
2015-02-11,14204,2285,13834,120,76,2361,98,953,623,1304,36,32,195,9,2495,439,2880,13,20,19,2,1296,993,1399,249,323,274,44
2015-02-12,12631,1499,7149,89,54,6689,149,681,866,1330,36,28,138,15,2334,395,2681,33,5,10,0,1091,652,1137,235,164,146,61
2015-02-13,10800,1422,10608,109,65,1375,65,883,604,1215,56,12,199,5,2380,382,2695,29,24,14,0,1277,712,1382,381,125,87,14
2015-02-14,13668,2889,10896,73,148,5363,77,1637,1622,2991,50,53,150,15,2899,651,3493,32,11,8,6,2197,1417,2636,575,143,172,88
2015-02-15,12880,2785,9455,251,189,5620,150,1748,1456,2889,79,30,193,13,3199,701,3831,35,13,21,0,2541,1190,2623,463,193,250,202
2015-02-16,6705,676,4279,126,70,2847,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-17,0,0,0,0,0,0,0,1276,627,1196,74,33,518,82,237,287,482,31,3,2,6,1502,551,994,394,132,418,115
2015-02-18,14065,2549,12987,193,161,3025,248,1773,792,1841,378,45,275,26,718,421,1086,34,7,12,0,2280,711,2108,396,107,215,165
2015-02-19,0,49408,41117,0,0,0,8291,0,12354,11395,306,12,132,509,0,9900,9900,0,0,0,0,779,10630,8998,1152,372,858,29
2015-02-20,26867,13448,31249,300,215,8200,351,5379,3193,8033,151,34,316,38,4319,2539,6756,42,9,27,24,6437,3750,8922,471,201,425,168
2015-02-21,13126,2379,10344,148,92,4863,58,1309,1111,2079,49,0,283,9,563,277,758,43,17,19,3,2436,791,2205,509,157,255,101
2015-02-22,15853,2921,9104,188,168,9084,230,1866,1324,2488,90,51,546,15,860,613,1373,45,11,37,7,2459,903,2485,325,177,310,65
2015-02-23,11415,1755,5164,197,97,7472,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-02-24,0,0,0,0,0,0,0,2294,1349,2380,75,53,1070,65,557,567,1003,34,12,72,3,2976,1146,2258,444,269,755,396
2015-02-25,0,21755,12541,0,0,0,9214,0,4726,4068,121,35,44,458,0,2899,2899,0,0,0,0,560,5008,4072,644,349,503,0
2015-02-26,11312,2314,5741,109,325,7420,31,966,700,1223,28,42,336,37,354,488,788,39,9,6,0,1327,901,1376,240,322,180,110
2015-02-27,11713,2173,6017,99,192,7463,115,771,859,1372,35,19,194,10,338,448,741,29,10,3,3,1551,852,1522,344,242,174,121
2015-02-28,12711,3782,9033,265,234,6722,239,1660,1785,3083,82,61,173,46,787,629,1364,24,10,18,0,2463,1148,2420,502,268,293,128
2015-03-01,11627,2253,8624,131,127,4614,384,1195,811,1693,36,17,246,14,602,390,945,24,17,0,6,2174,899,2074,450,203,106,240
2015-03-02,8706,1239,6293,261,406,2859,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015-03-03,0,0,0,0,0,0,0,798,306,594,66,16,423,5,227,144,308,19,9,27,8,1953,281,522,482,323,448,459
2015-03-04,9162,1024,4337,243,258,5191,157,431,292,553,42,40,74,14,261,158,348,22,12,37,0,1210,414,548,216,409,117,334
